id	long	lat	name
100	6.7038149	51.2119783	Hafenbecken 4
101	6.7095382	51.2151635	Hafenbecken 5
102	7.0889925	50.7584617	Gewerbegebiet Rheindorfer Hafen
103	6.2489899	51.8304689	Hafen Emmerich
104	6.2589335	51.8288535	Hafen Emmerich
105	6.9776298	50.9234644	Deutzer Hafen
106	6.9075757	51.0624838	Hitdorfer Hafen
107	7.0451947	51.5274555	Hafen der Ruhr Oel/BP Raffinerie Horst
108	7.0898854	50.7589367	Hafen Bonn
109	7.6251264	52.3152538	Hafen
110	6.749102	51.4502688	Hafenkanal
111	7.0040176	50.822491	Shell Deutschland Oil GmbH, Werk Sd, Hafen
112	7.6415869	51.8937869	Hafen Hiltrup
113	6.6065913	51.630202	Hafen Emmelsum
114	7.0213984	51.6631429	Dorstener Hafen-Speditionsgesellschaft mbH
115	7.6378886	51.9408226	Hafen Bscher
116	7.1268269	51.5434532	NSG Hafen Grimberg
117	6.7442806	51.4499247	Hafenkanal
118	7.722983	51.6699263	Entladekran Hafen Gersteinwerk
119	6.9800348	51.4993127	Hafenverwaltung
120	7.6805996	52.2213525	Hafen
121	7.1206786	51.5448151	Hafen Grimberg
122	6.7115352	51.5307573	Hafen Walsum-Nord
123	6.7009446	51.2106244	Hafen
124	7.2862715	51.5788597	Hafen Rttgers
125	7.1821658	51.5518457	Hafen Julia
126	6.2503371	51.8313269	Hafen Emmerich
127	6.6958018	51.1987871	Hafenbecken 1
128	6.7352696	51.2178393	DCH - Dsseldorfer Container-Hafen
129	6.752913	51.454489	DUSS-Terminal Duisburg Ruhrort Hafen
130	6.922209	50.891443	DUSS-Terminal K”ln Eifeltor
131	7.252048	51.281618	DUSS-Terminal Wuppertal-Langerfeld
132	6.782834	51.460812	DUSS-Terminal Duisburg KV-Hub Rhein-Ruhr
133	6.943888	51.005491	Terminal K”ln Nord HGK
134	6.683178	51.382048	Duisburg Logport III
135	6.732043	51.396901	Duisburg Logport I
136	6.864828	50.863972	KCG Knapsack
137	7.99535	50.952112	Container-Terminal Sdwestfalen-Kreuztal
138	7.085697	51.675746	UTM Marl
139	7.151203	51.549733	CTH Herne
140	7.421694	51.536764	CTD 2 Container Terminal Dortmund
141	7.719228	51.527295	Unna Ost
142	7.774552	51.610718	B”nen
143	8.386263	51.908698	Captrain-Terminal Gtersloh
144	7.164157	52.311164	Euro-Terminal Bad Bentheim-Twente
145	8.024499	52.298871	Osnabrck Hafen NOSTA
146	9.699632	52.354028	DUSS-Terminal Hannover-Linden
147	9.752946	51.573857	Adelebser Container Terminal - ACT
