id	long	lat	name
20130	6.922209	50.891443	DUSS-Terminal K”ln Eifeltor
20131	7.252048	51.281618	DUSS-Terminal Wuppertal-Langerfeld
20132	6.782834	51.460812	DUSS-Terminal Duisburg KV-Hub Rhein-Ruhr
20133	6.943888	51.005491	Terminal K”ln Nord HGK
20134	6.683178	51.382048	Duisburg Logport III
20135	6.732043	51.396901	Duisburg Logport I
20136	6.864828	50.863972	KCG Knapsack
20137	7.99535	50.952112	Container-Terminal Sdwestfalen-Kreuztal
20138	7.085697	51.675746	UTM Marl
20139	7.151203	51.549733	CTH Herne
20140	7.421694	51.536764	CTD 2 Container Terminal Dortmund
20141	7.719228	51.527295	Unna Ost
20142	8	51.610718	B”nen
20143	8.386263	51.908698	Captrain-Terminal Gtersloh
20144	7.164157	52.311164	Euro-Terminal Bad Bentheim-Twente
20145	8.024499	52.298871	Osnabrck Hafen NOSTA
20146	5.811898	50.973674	Rail Terminal Chemelot-Geleen
20147	7.81	51.67	Hamm RBF
20148	7.17	51.53	Wanne-Eickel Hbf
20149	6.91	51.50	Rangierbahnhof Oberhausen Osterfeld
20150	7.56	51.44	Schwerte
20151	7.42	51.38	Hagen-Vorhalle
