X	Y	NKNR	NKNAME
8.41240634	51.63535999	4316014	
8.402238627	51.63742017	4316015	
8.389970715	51.64159241	4316016	
8.382548278	51.66773553	4316018	
8.3818351	51.67549453	4316019	
8.382849221	51.67875974	4316020	
8.381927236	51.6801779	4316021	
8.394454248	51.68398742	4316024	
8.426122859	51.62678557	4316026	
8.433467532	51.6279036	4316027	
8.440502212	51.63534492	4316028	
8.440793468	51.63538533	4316029	
8.464567763	51.60641076	4316031	
8.464059488	51.63254299	4316032	
8.462442576	51.63827741	4316033	
8.467085735	51.63941084	4316034	
8.456753681	51.65231191	4316035	
8.449470043	51.66183397	4316036	
8.453777256	51.67554953	4316037	
8.433382663	51.68939019	4316038	
8.438829068	51.68966318	4316039	
8.49447202	51.68231517	4316040	
8.492237173	51.68733684	4316041	
8.496601845	51.68715028	4316042	
8.361962999	51.66257489	4316050	
8.368246083	51.67150401	4316051	
8.35738818	51.66916077	4316057	
8.369693601	51.67064641	4316058	
8.34554677	51.68003142	4316063	
8.352218786	51.68090658	4316064	
8.364210108	51.68439525	4316065	
8.452893438	51.65666311	4316067	
8.376646062	51.69182154	4316075	
8.333463433	51.67222024	4316078	
8.36687231	51.67154792	4316080	
8.387293193	51.64338056	4316081	
8.401367124	51.66683231	4316082	
8.484890863	51.6404226	4316083	
8.368331297	51.67065783	4316086	Rossfeld
8.354940515	51.69369698	4316087	
8.332426805	51.61590056	4316089	
8.33456618	51.6541136	4316090	
8.511385581	51.63456141	4317001	
8.514293846	51.62441429	4317002	
8.50481579	51.63577529	4317003	
8.517189051	51.63784906	4317005	
8.522456697	51.63925469	4317006	
8.503836876	51.63959698	4317007	
8.513032885	51.64583915	4317009	
8.511196727	51.64432628	4317011	
8.50658046	51.64403566	4317012	
8.506063991	51.6449473	4317013	
8.500589583	51.64967182	4317014	
8.51089766	51.68675365	4317015	
8.587454539	51.61650185	4317016	
8.573004476	51.65887739	4317017	
8.553084323	51.66915449	4317018	
8.564515503	51.67171803	4317019	
8.565447644	51.68302888	4317020	
8.570142648	51.68361251	4317021	
8.570449079	51.68798631	4317022	
8.623685533	51.60130377	4317023	
8.625079112	51.61095629	4317024	
8.642307197	51.62084263	4317025	
8.615479234	51.67064855	4317026	
8.600921285	51.6713526	4317027	
8.588472315	51.66579905	4317028	
8.609156022	51.67342774	4317029	
8.627863708	51.67869829	4317030	
8.656193381	51.60622863	4317033	
8.658872837	51.60601902	4317034	
8.645300377	51.66204168	4317035	
8.572303234	51.65952148	4317036	
8.635735087	51.62713955	4317039	
8.651532143	51.68536177	4317040	
8.613043624	51.60647216	4317041	
8.618068194	51.67548807	4317042	
8.665295333	51.64180479	4317043	
8.615790135	51.6665622	4317044	
8.619126956	51.67073276	4317045	
8.599548219	51.67070492	4317052	
8.624702554	51.66996354	4317054	
8.707527956	51.60628234	4318001	
8.68371295	51.62772278	4318002	
8.678235927	51.6336687	4318003	
8.706374702	51.64426343	4318006	
